facility_name,metric_name,facility_metric_value,time_period,animal_description,other_party,animal_age,animal_type
Aspen/Pitkin County Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Australian Shepherds Furever,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Avalon Aviary Bird Store,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Bear Creek Animal Hospital,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Beasties a pet store & more,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Bernese Mountain Dog Club os the Rockies,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Big Bones Canine Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Big Dogs Huge Paws, Inc","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Black Ops Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Blackhat Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Blue Lion Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Bounce Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Breeder Release Adoption Service,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Brighter Days Dog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Canine Partners of the Rockies,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Cat Care Durango,"2023
 Adult Cats
 Other.1",1,2023, Adult Cats, Other.1,Adult,Cats
Cat Care Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
cats alive slv,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Cats League & Assistance of the Western Slope,"2023
 Adult Cats
 Other.1",12,2023, Adult Cats, Other.1,Adult,Cats
Cats League and Assistance of the Western Slope Adoption Center,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Cavalier King Charles Spaniel Club Rescue, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Cavy Care Inc.,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Chihuahua & Small Dog Rescue, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Chow Down - Evergreen,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Circle 2 Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Aurora Animal Services,"2023
 Adult Cats
 Other.1",80,2023, Adult Cats, Other.1,Adult,Cats
City of Brush Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Burlington Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Cortez Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City Of Cripple Creek Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of La Junta Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Lamar Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Las Animas / Bent County Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Rocky Ford Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
City of Wray Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
CITY OF YUMA ANIMAL SHELTER,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
CLAWA Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Animal Care Foundation,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Animal Welfare League,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Basenji Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Beagle Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Bullies & More,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Corgis and Friends,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Feline Foster Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Greyhound Adoption,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Herding Dog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Japanese Chin Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Kitty Coalition,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Pug Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Puppy Rescue of Colorado,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Reptile Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Senior Dog Rescue and Hospice,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado Springs All Breed Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Colorado St Bernard Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
COLORADO WYOMING VIZSLA RESCUE GROUP INC,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Compassion Project Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Cooper's Companions,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
County of Clear Creek Animal Shelter,"2023
 Adult Cats
 Other.1",2,2023, Adult Cats, Other.1,Adult,Cats
County of Park Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Cuddle Bug Chinchillas,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Dalmatian Rescue of Colorado, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Dancing Dog Rescue and Recovery Ranch, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Delta County Citizens for Animal Welfare and Shelter,"2023
 Adult Cats
 Other.1",135,2023, Adult Cats, Other.1,Adult,Cats
DELTA COUNTY HUMANE SOCIETY,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Demi's Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Denkai Animal Sanctuary,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Denver Animal Shelter,"2023
 Adult Cats
 Other.1",44,2023, Adult Cats, Other.1,Adult,Cats
Denver Cat Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
DMK Rehoming,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Do Over Dogs A Second Chance At Life,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Dogs Unbroken,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Douglas County Canine Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Dumb Friends League,"2023
 Adult Cats
 Other.1",504,2023, Adult Cats, Other.1,Adult,Cats
Dumb Friends League - Veterinary Hospital at CSU Spur,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Dumb Friends League Buddy Center,"2023
 Adult Cats
 Other.1",41,2023, Adult Cats, Other.1,Adult,Cats
Dumb Friends League San Luis Valley Animal Center,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Durango Animal Connection,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Eagle County Animal Shelter and Services,"2023
 Adult Cats
 Other.1",36,2023, Adult Cats, Other.1,Adult,Cats
Eagle Valley Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Eastern Plains Animal Welfare Alliance-EPAWA,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Eaton Animal Den,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
El Paso County Canine Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"English Springer Rescue America, Inc","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Estes Park Pet Lodge, Inc","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Evergreen Animal Protective League,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Exotic Bird Ranch,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Farfel's Farm & Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Feeders Unlimited,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Fen's Haven,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Ferret Dreams Rescue & Adoption,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Fins & Feathers LLC,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Foothills Animal Shelter,"2023
 Adult Cats
 Other.1",127,2023, Adult Cats, Other.1,Adult,Cats
"For Pets' Sake, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Forgotten Felines Rescue,"2023
 Adult Cats
 Other.1",269,2023, Adult Cats, Other.1,Adult,Cats
Fort Morgan Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Foster Kitten Mama,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Friends of Retired Greyhounds,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
From forgotten to forever rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Front Range German Shepard Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Front Range Reptiles,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Fureverdog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Golden Growls Senior Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Golden Retriever Freedom Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Golden Retriever Rescue of the Rockies,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Grand County Animal Shelter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Grand Rivers Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Gray Muzzle Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Great Pyrenees Rescue & Sanctuary,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Grey Ghost Weimaraner Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Gunnison Valley Animal Welfare League,"2023
 Adult Cats
 Other.1",3,2023, Adult Cats, Other.1,Adult,Cats
Happy Cats Haven,"2023
 Adult Cats
 Other.1",337,2023, Adult Cats, Other.1,Adult,Cats
Happy Haven Farm & Sanctuary,"2023
 Adult Cats
 Other.1",2,2023, Adult Cats, Other.1,Adult,Cats
Harley's Dream,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Harley's Hope Foundation,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Harmony Animal Matchmaker and Sanctuary,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Havok's Wolfpack,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
HemoSolutions,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
High County Basset Hound Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Ho-Bo Care Boxer Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Hoffmanns Little Have,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Homeward Bound Rescue of Colorado,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Hoof and Paw,"2023
 Adult Cats
 Other.1",1,2023, Adult Cats, Other.1,Adult,Cats
Hope For Animals-Clear Creek Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of Boulder Valley,"2023
 Adult Cats
 Other.1",65,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of Fremont County,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of Moab Valley dba Petco,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of Pagosa Springs,"2023
 Adult Cats
 Other.1",1,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of the Pikes Peak Region,"2023
 Adult Cats
 Other.1",1341,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of the Pikes Peak Region - Pueblo,"2023
 Adult Cats
 Other.1",1129,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of the South Platte Valley,"2023
 Adult Cats
 Other.1",2,2023, Adult Cats, Other.1,Adult,Cats
Humane Society of Weld County,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Indigo Mountain Nature Center,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Inge Trump,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
InsideReef llc,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Intermountain Humane001qm2,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"International Hearing Dog, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
iResQ RR,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Jailbreak Husky Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
JJ Helping Paws Inc,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Journey Home Animal Care Center,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Karl's Canine Krew,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Katmandu Paonia,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
KOT Kitten Korner,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
L.O.L.A.'S Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
La Plata County Humanesociety,"2023
 Adult Cats
 Other.1",157,2023, Adult Cats, Other.1,Adult,Cats
Leadville Lake County Animal Shelter,"2023
 Adult Cats
 Other.1",1,2023, Adult Cats, Other.1,Adult,Cats
Life is Better Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Life is Better Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Lifeline Puppy Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Lightshine Canine, LLC","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Little Paws Matter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Little Paws Matter,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Little Rescue On The Prairie,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Live Love Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Logan County Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Loma Cat House Inc,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Longmont Friends of Feral & Abandoned Cats,"2023
 Adult Cats
 Other.1",92,2023, Adult Cats, Other.1,Adult,Cats
Longmont Humane Society,"2023
 Adult Cats
 Other.1",39,2023, Adult Cats, Other.1,Adult,Cats
lookwhatthecatbroughtin,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Lucky Day Animal Rescue of Colorado,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Majestic Canine Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mattersville,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
MaxFund Cats,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
MaxFund Inc,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
MaxFund Meow Manor,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
MidAmerica Boston Terrier Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Mile High Canine Rescue, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mile High Dachshunds Rescue.org,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mile High German Shorthaired Pointer Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mile High Labrador Retriever Mission,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mile High Meowies Inc,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mile High Weimaraner Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Moms and Mutts Colorado Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mother Gaia Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mountain Pet Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Mutts N Such Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
My Fairy Dawg Mother Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
My Second Home Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
National Mill Dog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
New Favorite Day,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"New Hope Cattle Dogs, Rescue & Rehoming","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Nikenos Second Chances,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
No Hound Unhomed LLC,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Noah's Ark Animal Welfare Assn,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
NoCo Cat Cafe,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
NOCO Humane,"2023
 Adult Cats
 Other.1",2,2023, Adult Cats, Other.1,Adult,Cats
NOCO Humane,"2023
 Adult Cats
 Other.1",26,2023, Adult Cats, Other.1,Adult,Cats
nocokitties,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Northern Colorado Herpetological Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Obe's Angels Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Oh Be Dogful,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Old Dogs New Digs,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
One Dog at a Time Colorado,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Overturf Animal Sanctuary,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Painted Paws for Veterans,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Paired Souls Animal Rescue and Rehabilitation,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Paradise Animal Welfare Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Parker's Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Paws and People,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Paws N Hooves,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Paws on the Ground Colorado,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
PawsCo,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
pawsecond chance rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
PAWSitive Reaction,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pawsitive Restorations Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Peak View Animal Hospital,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Peanut's Place Bully Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Pei People Shar Pei Rescue, Inc","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Pembroke Welsh Corgi Club of the Rockies Rescue, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pepper's Senior Dog Sacntuary,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Perfect Pets,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pet Association Of Estes Park,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pet Paradise Inc,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pet World,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pets Plus LLC,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
PETS R PEOPLE TOO,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Platte Valley Veterinary,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pointerrescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
POLARIS Alaskan Malamute Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
POSO Dog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Pound Pitties Dog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
pranaDOGS Behavior & Rehab Ctr,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Prison Trained K-9 Companion Program,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Purrendipity,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Red Fern Animal Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rescued for Life,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Retriever Rescue of Colorado,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
RezDawg Rescue,"2023
 Adult Cats
 Other.1",3,2023, Adult Cats, Other.1,Adult,Cats
Riverdale Animal Shelter,"2023
 Adult Cats
 Other.1",244,2023, Adult Cats, Other.1,Adult,Cats
"Rocky Mountain Cocker Rescue, Inc.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Rocky Mountain Collie and Sheltie Rescue, INC.","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain Feline Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain French Bulldog Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
"Rocky Mountain Great Dane Rescue, Inc","2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain House Rabbit Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain Lab Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain Leos/ Michelle A Thompson,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain Puppy Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain Scottie Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Rocky Mountain Yorkie Rescue,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Roice-Hurst Humane Society,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Roice-Hurst Humane Society Delta,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
Routt County Humane Society,"2023
 Adult Cats
 Other.1",31,2023, Adult Cats, Other.1,Adult,Cats
Rugby's Rescue House,"2023
 Adult Cats
 Other.1",0,2023, Adult Cats, Other.1,Adult,Cats
